figure,nodes,key,C,kernel,note,n_capsules,pv3c_ms,d_vs_twin_pct,figure_ms,d_vs_figure_pct,capsules
main_perf,2,K2/ours12/1,1/4,campaign,,1,4.202,-2.0,,,20260915-082011
main_perf,4,K2/ours12/1,1/4,campaign,,1,4.083,1.5,3.998,2.1,20260915-055811
main_perf,4,K2/ours12/4,1/4,campaign,,1,6.106,-2.9,6.05,0.9,20260915-053358
main_perf,4,K2/ours12/16,1/4,campaign,,1,14.468,-1.5,14.411,0.4,20260915-053358
main_perf,4,K2/ours12_dispatch/1,1/4,campaign,,1,4.748,-5.0,6.824,-30.4,20260915-061546
main_perf,4,K2/ours12_dispatch/4,1/4,campaign,,1,6.787,-1.6,8.322,-18.4,20260915-061546
main_perf,4,K2/ours12_dispatch/16,1/4,campaign,,1,15.31,-0.2,16.123,-5.0,20260915-061546
main_perf,4,K2/ours2_direct/1,1/4,campaign,,1,6.084,-1.9,,,20260915-061546
main_perf,4,K2/ours2_direct/4,1/4,campaign,,1,12.135,-1.8,,,20260915-061546
main_perf,4,K2/ours2_direct/16,1/4,campaign,,1,36.515,0.4,,,20260915-061546
main_perf,4,K2/ours2_nooverlap/1,1/4,campaign,,1,6.377,0.7,6.38,-0.0,20260915-065911
main_perf,4,K2/ours2_nooverlap/4,1/4,campaign,,1,8.448,-1.7,8.52,-0.8,20260915-065911
main_perf,4,K2/ours2_nooverlap/16,1/4,campaign,,1,18.606,-0.7,18.269,1.8,20260915-065911
main_perf,4,Qwen/ours12/1,1/4,campaign,,1,3.082,1.3,3.019,2.1,20260915-060043
main_perf,4,Qwen/ours12/4,1/4,campaign,,1,4.634,-2.5,4.712,-1.7,20260915-054236
main_perf,4,Qwen/ours12/16,1/4,campaign,,1,12.072,-0.4,11.716,3.0,20260915-054236
main_perf,4,Qwen/ours12_dispatch/1,1/4,campaign,,1,3.728,-4.2,4.655,-19.9,20260915-062223
main_perf,4,Qwen/ours12_dispatch/4,1/4,campaign,,1,5.34,-2.7,6.079,-12.2,20260915-062223
main_perf,4,Qwen/ours12_dispatch/16,1/4,campaign,,1,12.665,-0.9,13.36,-5.2,20260915-062223
main_perf,4,Qwen/ours2_direct/1,1/4,campaign,,1,4.767,-2.7,,,20260915-062223
main_perf,4,Qwen/ours2_direct/4,1/4,campaign,,1,10.421,-0.2,,,20260915-062223
main_perf,4,Qwen/ours2_direct/16,1/4,campaign,,1,35.374,4.4,,,20260915-062223
main_perf,4,Qwen/ours2_nooverlap/1,1/4,campaign,,1,5.197,-0.4,5.354,-2.9,20260915-070138
main_perf,4,Qwen/ours2_nooverlap/4,1/4,campaign,,1,7.386,-5.0,7.555,-2.2,20260915-070138
main_perf,4,Qwen/ours2_nooverlap/16,1/4,campaign,,1,17.535,2.6,15.893,10.3,20260915-070138
main_perf,8,K2/ours12/1,1/4,campaign,,2,5.896,-1.9,5.859,0.6,20260915-084021 20260915-085521
main_perf,8,K2/ours12/4,1/4,campaign,,1,8.597,1.2,8.371,2.7,20260915-084021
main_perf,8,K2/ours12/16,1/4,campaign,,1,19.159,0.0,19.561,-2.1,20260915-084021
main_perf,8,K2/ours12_dispatch/1,1/4,campaign,,1,7.001,3.4,8.943,-21.7,20260915-084021
main_perf,8,K2/ours12_dispatch/4,1/4,campaign,,1,9.563,0.5,10.449,-8.5,20260915-084021
main_perf,8,K2/ours12_dispatch/16,1/4,campaign,,1,20.467,0.7,21.457,-4.6,20260915-084021
main_perf,8,K2/ours2_direct/1,1/4,campaign,,1,6.075,-3.0,,,20260915-085521
main_perf,8,K2/ours2_nooverlap/1,1/4,campaign,,1,8.338,-0.2,8.286,0.6,20260915-085958
main_perf,8,K2/ours2_nooverlap/4,1/4,campaign,,1,10.998,0.0,11.101,-0.9,20260915-084021
main_perf,8,K2/ours2_nooverlap/16,1/4,campaign,,1,24.79,3.3,23.8,4.2,20260915-084021
main_perf,8,Qwen/ours12/1,1/4,campaign,,1,5.269,-0.5,5.409,-2.6,20260915-090203
main_perf,8,Qwen/ours12/4,1/4,campaign,,1,7.735,4.9,7.375,4.9,20260915-090203
main_perf,8,Qwen/ours12/16,1/4,campaign,,1,16.742,-4.4,17.18,-2.5,20260915-090203
main_perf,8,Qwen/ours12_dispatch/1,1/4,campaign,,1,6.111,-4.1,6.851,-10.8,20260915-090203
main_perf,8,Qwen/ours12_dispatch/4,1/4,campaign,,1,8.087,-4.8,10.097,-19.9,20260915-090203
main_perf,8,Qwen/ours12_dispatch/16,1/4,campaign,,1,17.429,-6.3,19.555,-10.9,20260915-090203
main_perf,8,Qwen/ours2_nooverlap/1,1/4,campaign,,1,7.501,-3.1,7.841,-4.3,20260915-090203
main_perf,8,Qwen/ours2_nooverlap/4,1/4,campaign,,1,10.41,-0.4,10.303,1.0,20260915-090203
main_perf,8,Qwen/ours2_nooverlap/16,1/4,campaign,,1,23.349,-0.6,21.92,6.5,20260915-090203
main_perf,16,K2/ours12/1,1/2,v4,,3,12.627,-1.7,12.613,0.1,20260915-175557 20260915-183514 20260915-184912
main_perf,16,K2/ours12/4,1/2,v4,,2,15.341,-0.8,15.626,-1.8,20260915-175557 20260915-183514
main_perf,16,K2/ours12/16,1/2,v4,,1,29.313,3.4,27.916,5.0,20260915-183514
main_perf,16,K2/ours12_dispatch/1,1/2,v4,,1,13.544,-4.7,13.511,0.2,20260915-183514
main_perf,16,K2/ours12_dispatch/4,1/2,v4,,1,17.174,2.0,16.826,2.1,20260915-183514
main_perf,16,K2/ours12_dispatch/16,1/2,v4,,1,29.423,0.2,29.409,0.0,20260915-183514
main_perf,16,K2/ours2_direct/1,1/2,v4,,3,6.843,-1.5,7.224,-5.3,20260915-175557 20260915-183514 20260915-184912
main_perf,16,K2/ours2_direct/4,1/2,v4,,2,15.411,-3.1,16.216,-5.0,20260915-175557 20260915-183514
main_perf,16,K2/ours2_direct/16,1/4,v4,fill: chosen C=1/2 missing,1,48.103,-4.6,52.518,-8.4,20260915-183514
main_perf,16,K2/ours2_nooverlap/1,1/2,v4,,1,16.161,3.6,15.673,3.1,20260915-183514
main_perf,16,K2/ours2_nooverlap/4,1/2,v4,,1,19.057,0.2,20.144,-5.4,20260915-183514
main_perf,16,K2/ours2_nooverlap/16,1/2,v4,,1,35.303,3.0,33.641,4.9,20260915-183514
main_perf,16,Qwen/ours12/1,1/2,v4,,1,12.321,-1.3,12.332,-0.1,20260915-184102
main_perf,16,Qwen/ours12/4,1/2,v4,,1,14.789,2.7,14.684,0.7,20260915-184102
main_perf,16,Qwen/ours12/16,1/2,campaign,,1,28.165,7.0,26.064,8.1,20260915-101317
main_perf,16,Qwen/ours12_dispatch/1,1/2,v4,,1,13.816,-1.4,13.71,0.8,20260915-184102
main_perf,16,Qwen/ours12_dispatch/4,1/2,v4,,1,16.223,1.6,15.825,2.5,20260915-184102
main_perf,16,Qwen/ours12_dispatch/16,1/2,v4,,1,28.348,5.7,26.45,7.2,20260915-210903
main_perf,16,Qwen/ours2_direct/1,1/2,v4,,1,6.733,1.3,6.825,-1.3,20260915-184102
main_perf,16,Qwen/ours2_direct/4,1/2,v4,,1,15.509,-2.8,16.417,-5.5,20260915-184102
main_perf,16,Qwen/ours2_direct/16,1/4,v4,fill: chosen C=1/2 missing,1,46.954,-12.7,54.702,-14.2,20260915-184102
main_perf,16,Qwen/ours2_nooverlap/1,1/2,v4,,1,15.821,2.3,15.563,1.7,20260915-184102
main_perf,16,Qwen/ours2_nooverlap/4,1/2,v4,,1,19.023,3.6,18.056,5.4,20260915-184102
main_perf,16,Qwen/ours2_nooverlap/16,1/2,v4,,1,34.898,0.9,31.621,10.4,20260915-184102
main_perf,32,K2/ours12/1,1/2,v4,,2,37.824,-0.6,,,20260915-175055 20260915-184537
main_perf,32,K2/ours2_direct/1,1/2,v4,,2,8.62,-3.4,,,20260915-175055 20260915-184537
weak_scaling,2,ours/1,1/4,campaign,,1,4.202,-2.0,4.24,-0.9,20260915-082011
weak_scaling,2,ours/64,1/4,campaign,,1,36.023,-0.1,36.092,-0.2,20260915-082011
weak_scaling,4,dwire/1,1/4,campaign,,1,6.084,-1.9,6.171,-1.4,20260915-061546
weak_scaling,4,ours/1,1/4,campaign,,1,4.083,1.5,4.009,1.8,20260915-055811
weak_scaling,4,ours/64,1/4,campaign,,1,47.857,2.0,46.247,3.5,20260915-054844
weak_scaling,8,dwire/1,1/4,campaign,,1,6.075,-3.0,6.13,-0.9,20260915-085521
weak_scaling,8,ours/1,1/4,campaign,,2,5.896,-1.9,5.684,3.7,20260915-084021 20260915-085521
weak_scaling,8,ours/64,1/4,campaign,,1,64.372,0.8,62.456,3.1,20260915-085807
weak_scaling,16,dwire/1,1/2,v4,,3,6.843,-1.5,7.2,-5.0,20260915-175557 20260915-183514 20260915-184912
weak_scaling,16,ours/1,1/2,v4,,3,12.627,-1.7,12.769,-1.1,20260915-175557 20260915-183514 20260915-184912
weak_scaling,16,ours/64,1/2,v4,,1,89.284,3.7,85.785,4.1,20260915-185111
weak_scaling,32,dwire/1,1/2,v4,,2,8.62,-3.4,9.252,-6.8,20260915-175055 20260915-184537
weak_scaling,32,ours/1,1/2,v4,,2,37.824,-0.6,39.186,-3.5,20260915-175055 20260915-184537
weak_scaling,32,ours/64,1/2,v4,,1,126.686,8.6,120.173,5.4,20260915-184739
