capsule,scenario,protocol,dwell,arm,arm_order,variant,topic,eval_pool,mean_ms,median_ms,sd_ms,n_iters,iters,binary,cell_id
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,COMET,0,l01_allgather_dense,clinical,clinical,59.688,60.330,2.009,16,16,505e4bed/4f66d1c4,l01_allgather_dense_trace-356bcd_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,COMET,0,l01_allgather_dense,colmath,colmath,63.445,63.385,1.112,16,16,505e4bed/4f66d1c4,l01_allgather_dense_trace-c16ab5_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,COMET,0,l01_allgather_dense,elecEng,elecEng,62.156,62.146,2.261,16,16,505e4bed/4f66d1c4,l01_allgather_dense_trace-931acd_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,COMET,0,l01_allgather_dense,hsPsych,hsPsych,60.617,60.747,1.491,16,16,505e4bed/4f66d1c4,l01_allgather_dense_trace-27e29c_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,COMET,0,l01_allgather_dense,hsWorldHist,hsWorldHist,56.656,57.037,2.284,16,16,505e4bed/4f66d1c4,l01_allgather_dense_trace-16cdac_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,COMET,0,l01_allgather_dense,lcb,lcb,60.155,59.702,1.741,16,16,505e4bed/4f66d1c4,l01_allgather_dense_trace-245f17_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,COMET,0,l01_allgather_dense,philosophy,philosophy,57.235,57.596,2.153,16,16,505e4bed/4f66d1c4,l01_allgather_dense_trace-dc9a78_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,COMET,0,l01_allgather_dense,proLaw,proLaw,65.336,65.522,0.954,16,16,505e4bed/4f66d1c4,l01_allgather_dense_trace-0712af_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,clinical,clinical,53.488,53.210,1.805,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-356bcd_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,colmath,colmath,55.621,55.756,2.203,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-c16ab5_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,elecEng,elecEng,53.251,53.355,1.379,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-931acd_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,hsPsych,hsPsych,54.914,54.854,1.686,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-27e29c_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,hsWorldHist,hsWorldHist,52.224,51.944,1.218,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-16cdac_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,lcb,lcb,54.782,55.173,1.472,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-245f17_b64_k8_isolated
